Date,NSA Value
2002-11-30,113.17035504
2002-12-31,113.25269802
2003-01-31,113.58016388
2003-02-28,114.35430416
2003-03-31,115.62336467
2003-04-30,117.09600525
2003-05-31,118.57180581
2003-06-30,119.88936595
2003-07-31,120.7676518
2003-08-31,121.03918099
2003-09-30,120.89306426
2003-10-31,120.84253013
2003-11-30,121.19485529
2003-12-31,121.93646819
2004-01-31,123.12771436
2004-02-29,124.74659895
2004-03-31,126.51195853
2004-04-30,128.16148109
2004-05-31,129.4734507
2004-06-30,130.59238741
2004-07-31,131.75935475
2004-08-31,132.71577998
2004-09-30,133.54689977
2004-10-31,134.35557736
2004-11-30,134.96175122
2004-12-31,135.61437171
2005-01-31,136.58726884
2005-02-28,137.6931328
2005-03-31,138.82814435
2005-04-30,140.34485883
2005-05-31,142.3639952
2005-06-30,144.46502837
2005-07-31,146.26474328
2005-08-31,147.60496747
2005-09-30,148.66499714
2005-10-31,149.78469899
2005-11-30,150.84643464
2005-12-31,151.81173067
2006-01-31,153.01859828
2006-02-28,154.51745425
2006-03-31,156.21839327
2006-04-30,158.30660251
2006-05-31,160.693284
2006-06-30,162.85272187
2006-07-31,164.43469302
2006-08-31,165.59505914
2006-09-30,166.70072568
2006-10-31,167.70335441
2006-11-30,168.3835042
2006-12-31,168.98294058
2007-01-31,169.83013379
2007-02-28,170.93776253
2007-03-31,172.35772472
2007-04-30,174.08341709
2007-05-31,175.77100811
2007-06-30,177.20428984
2007-07-31,178.41058034
2007-08-31,178.97895185
2007-09-30,178.46357603
2007-10-31,177.28863559
2007-11-30,176.1743729
2007-12-31,175.4373194
2008-01-31,175.09679367
2008-02-29,175.30029225
2008-03-31,175.92041906
2008-04-30,176.64033975
2008-05-31,177.53612583
2008-06-30,178.4068182
2008-07-31,178.8176372
2008-08-31,178.5342573
2008-09-30,177.29969205
2008-10-31,175.23076304
2008-11-30,172.93967836
2008-12-31,170.84463638
2009-01-31,169.19328203
2009-02-28,168.34734366
2009-03-31,168.51982138
2009-04-30,169.37292391
2009-05-31,170.18717743
2009-06-30,170.47194184
2009-07-31,170.14744504
2009-08-31,169.44651634
2009-09-30,168.6778092
2009-10-31,167.91773429
2009-11-30,167.13433769
2009-12-31,166.48633783
2010-01-31,166.13676798
2010-02-28,166.12721685
2010-03-31,166.36653126
2010-04-30,166.47505631
2010-05-31,166.07882186
2010-06-30,165.21647736
2010-07-31,164.22569114
2010-08-31,163.33959762
2010-09-30,162.61284093
2010-10-31,161.96888769
2010-11-30,161.41575317
2010-12-31,161.1491989
2011-01-31,161.16260445
2011-02-28,161.39620756
2011-03-31,161.83066333
2011-04-30,162.3808265
2011-05-31,162.9594734
2011-06-30,163.59058147
